DATE,FedInterestRate,Inflation,GDP,S&P500Close,UmemploymentRate,GovernmentDebtGDP,CorporateDebt,PoundDollar,DollarYen,SP5006monthslater
01/10/1974,10.06,0.121,1599.679,73.900002,0.06,0.30798,243170,2.333,299.3645,83.360001
01/11/1974,9.45,0.122,1599.679,69.970001,0.066,0.30798,243170,2.3252,300.075,87.300003
01/12/1974,8.53,0.123,1599.679,68.559998,0.072,0.30798,243170,2.3294,300.4114,91.150002
01/01/1975,7.13,0.118,1616.116,76.980003,0.081,0.31536,254526,2.3623,299.6845,95.190002
01/02/1975,6.24,0.112,1616.116,81.589996,0.081,0.31536,254526,2.3958,291.6583,88.75
01/03/1975,5.54,0.103,1616.116,83.360001,0.086,0.31536,254526,2.418,287.9486,86.879997
01/04/1975,5.49,0.102,1651.853,87.300003,0.088,0.32278,261258,2.3707,292.1968,83.870003
01/05/1975,5.22,0.095,1651.853,91.150002,0.09,0.32278,261258,2.3205,291.4305,89.040001
01/06/1975,5.55,0.094,1651.853,95.190002,0.088,0.32278,261258,2.2803,293.4662,91.239998
01/07/1975,6.1,0.097,1709.82,88.75,0.086,0.3238,265658,2.1845,296.3741,90.190002
01/08/1975,6.14,0.086,1709.82,86.879997,0.084,0.3238,265658,2.1143,297.9762,100.860001
01/09/1975,6.24,0.079,1709.82,83.870003,0.084,0.3238,265658,2.0834,299.909,99.709999
01/10/1975,5.82,0.074,1761.831,89.040001,0.084,0.3273,270077,2.0568,302.3364,102.769997
01/11/1975,5.22,0.074,1761.831,91.239998,0.083,0.3273,270077,2.0484,302.5453,101.639999
01/12/1975,5.2,0.069,1761.831,90.190002,0.082,0.3273,270077,2.0221,305.67,100.18
01/01/1976,4.87,0.067,1820.487,100.860001,0.079,0.32985,278165,2.0286,304.6357,104.279999
01/02/1976,4.77,0.063,1820.487,99.709999,0.077,0.32985,278165,2.0262,301.5944,103.440002
01/03/1976,4.84,0.061,1820.487,102.769997,0.076,0.32985,278165,1.9428,300.5183,102.910004
01/04/1976,4.82,0.06,1852.332,101.639999,0.077,0.33495,284516,1.8463,299.1086,105.239998
01/05/1976,5.29,0.062,1852.332,100.18,0.074,0.33495,284516,1.8079,299.004,102.900002
